Trail,Distance miles (km),Elevation Gain feet (meters),Crowd Factor,Scenery Factor,Difficulty,Area
Artist Point,2.0 (3.2),500 (150),2,5,3,Yosemite Valley
Mariposa Grove of Giant Sequoias,2.0 (3.2)*,"1,200 (360)*",5,5,3,Southern Yosemite
The Mist Trail (Vernal & Nevada Falls),3 (4.8)*,"1,000 (300)*",5,5,6,Yosemite Valley
4-Mile Trail,4.7 (7.5)*,"3,200 (975)",4,5,7,Yosemite Valley
Pohono Trail,13 (21)*,"3,700 (1,130)*",3,5,8,Yosemite Valley
Upper Yosemite Falls,7.6 (12)*,"2,600 (790)*",4,5,8,Yosemite Valley
Half Dome,14.2 (22.7)*,"4,800 (1,600)",4,5,10,Yosemite Valley
Glacier Point,1 (1.6),< 50,5,5,1,Glacier Point Road
Tenaya Lake,2.5 (4),0,3,5,3,Tioga Road
Bridalveil Fall,1.2 (1.9),200 (60),5,4,1,Yosemite Valley
Sentinel / Cook's Meadow Loop,2.25 (3.6),< 10,4,4,2,Yosemite Valley
Sentinel Dome,2.2 (3.5),400 (120),3,4,3,Glacier Point Road
Taft Point and the Fissures,2.2 (3.5),200 (60),4,4,3,Glacier Point Road
Columbia Rock,3 (4.8),"1,000 (300)",4,3,5,Yosemite Valley
Snow Creek Trail,7.2 (11.6)*,"2,700 (820)*",3,3,8,Yosemite Valley
Washburn Point,0.1,15 (5),4,4,0,Glacier Point Road
Chilnualna Falls,8.4 (13.5),"2,300 (700)",3,3,7,Southern Yosemite
Gaylor Lakes,3 (4.8)*,600 (180)*,2,4,4,Tioga Road
Olmsted Point,0.25 (0.4),< 100,4,4,1,Tioga Road
Tuolumne Meadows,2 (3.2),0,4,4,1,Tioga Road
4-Mile Trail,4.7 (7.5)*,"3,200 (975)",4,5,7,Glacier Point Road
Mirror Lake & Tenaya Canyon,2.4 (3.8)*,< 100*,5,3,2,Yosemite Valley
"Dewey, Crocker, & Stanford Points",7.8 (12.5)*,300 (90)*,2,4,7,Glacier Point Road
Turtleback Dome,1.2 (2),360 (110),2,3,3,Yosemite Valley
Illilouette Falls,4 (6.5),"1,400 (420)",3,4,6,Glacier Point Road
Inspiration Point,2.6 (4.2),"1,000 (300)",2,3,4,Yosemite Valley
Vernal Fall Footbridge,2 (3.2),300 (90),5,3,4,Yosemite Valley
Ostrander Lake,12.4 (20),"1,600 (490)",3,3,7,Glacier Point Road
Panorama Trail,8.5 (13.5),"3,200 (975)",4,5,6,Glacier Point Road
Pohono Trail,13 (21)*,"3,700 (1,130)*",3,5,8,Glacier Point Road
Wawona Meadow Loop,3.5 (5.6)*,< 50*,2,3,2,Southern Yosemite
McGurk Meadow,1.8 (2.9),100 (30),2,3,1,Glacier Point Road
Westfall Meadow,2.8 (4.5),100 (30),1,3,2,Glacier Point Road
Dog Lake,2.8 (4.5)*,750 (225)*,2,3,4,Tioga Road
Cathedral Lakes,8.2 (13.2)*,800 (240)*,3,4,6,Tioga Road
Clouds Rest,14.5 (23.3),"1,775 (540)",3,5,8,Tioga Road
Elizabeth Lake,4.6 (7.4)*,900 (270)*,3,3,4,Tioga Road
Lembert Dome,2.8 (4.5)*,900 (275)*,2,3,4,Tioga Road
Lower Gaylor Lake,4.6 (7.4)*,800 (245)*,2,3,3,Tioga Road
Glen Aulin (Tuolumne Falls/White Cascade),13 (21),600 (180)*,4,4,7,Tioga Road
Pothole Dome & Tuolumne River,2.5 (4),250 (75),2,3,2,Tioga Road
Tuolumne Grove of Giant Sequoias,2.5 (4),-400 (-120),3,3,3,Tioga Road
Carlon Falls,3.8 (6),200 (60),3,3,3,Hetchy Hetch and Big Oak Flat
Merced Grove of Giant Sequoias,3 (4.8),600 (180),2,3,4,Hetchy Hetch and Big Oak Flat
Wapama Falls,5.5 (8.8),200 (60),3,3,4,Hetchy Hetch and Big Oak Flat
May Lake & Mt. Hoffmann,2.5 (4)*,500 (150)*,3,4,7,Tioga Road
Mono Pass,7.4 (12),900 (275),3,4,5,Tioga Road
North Dome,8.8 (14.2),-560 (-170),3,4,6,Tioga Road
Happy Isles,0.5 (0.8)*,< 10,3,2,1,Yosemite Valley
Wawona Swinging Bridge,0.75 (1.2)*,< 50,2,2,1,Southern Yosemite
Snow Creek Trail,10 (16)*,"1,700 (520)*",3,3,7,Tioga Road
Spillway Lake,8 (13),800 (240),3,3,5,Tioga Road
Sunrise Lakes,8.8 (14)*,"1,300 (395)",3,3,6,Tioga Road
Ten Lakes,13 (21)*,"2,700 (720)*",3,3,7,Tioga Road
Bridalveil Creek,5.5 (9)*,100 (30)*,2,2,4,Glacier Point Road
Mono Meadow,1.2 (2)*,300 (90),1,2,3,Glacier Point Road
Harden Lake,5.8 (9.3),300 (90),2,2,4,Tioga Road
Lukens Lake,1.6 (2.5)*,200 (60)*,3,2,3,Tioga Road
Lyell Canyon,1.4 (2.2)*,< 100 (30)*,2,2,2,Tioga Road
Foresta Falls,2 (3.2),200 (60),1,2,2,Hetchy Hetch and Big Oak Flat
Little Nellie Falls,5.6 (9),320 (100),1,2,4,Hetchy Hetch and Big Oak Flat
Lookout Point,2.8 (4.5),500 (150),2,2,3,Hetchy Hetch and Big Oak Flat
Rancheria Falls,13 (21),800 (240),3,3,7,Hetchy Hetch and Big Oak Flat
Lower Yosemite Falls (no water),0.5 (0.8)*,< 50*,5,0,1,Yosemite Valley
